Track,Driver,Vote%
Bahrain,Carlos Sainz,31.4
Saudi Arabia,Oliver Bearman,48.3
Australia,Carlos Sainz,38.4
Japan,Charles Leclerc,23.8
China,Lando Norris,26.4
Miami,Lando Norris,41.1
Emilia Romagna,Lando Norris,31.4
Monaco,Charles Leclerc,32.4
Canada,Lando Norris,24.7
Spain,Lando Norris,28.3
Austria,Lando Norris,24.6
Great Britain,Lewis Hamilton,36.1
Hungary,Oscar Piastri,34.9
Belgium,Lewis Hamilton,26.1
Netherlands,Lando Norris,24.6
Italy,Charles Leclerc,26.4
Azerbaijan,Oscar Piastri,29.6
Singapore,Daniel Ricciardo,20.1
United States,Charles Leclerc,27.4
Mexico,Carlos Sainz,27.2
Brazil,Max Verstappen,39.6
Las Vegas,Lewis Hamilton,32.7
Qatar,Guanyu Zhou,29.7
Abu Dhabi,Charles Leclerc,29.4
